Using Techfile: /tmp/pohan//sky130A/libs.tech/klayout/sky130A.lyt
Using layout file: /project/openlane/user_project_wrapper/runs/user_project_wrapper/results/klayout/user_project_wrapper.xor.gds
[INFO] Reading tech file: /tmp/pohan//sky130A/libs.tech/klayout/sky130A.lyt
[INFO] Reading Layout file: /project/openlane/user_project_wrapper/runs/user_project_wrapper/results/klayout/user_project_wrapper.xor.gds
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=366788934, record number=27678319, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=366947542, record number=27679284, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=367032982, record number=27679584, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=367133030, record number=27680519, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=367218470, record number=27680819, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=367316534, record number=27681764, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=367401974, record number=27682064, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=368030118, record number=27708214, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=368115846, record number=27708514, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=368413766, record number=27717474, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=368499494, record number=27717774, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=368655814, record number=27721769, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=368741542, record number=27722069, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=369122678, record number=27733749, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=369241366, record number=27733944, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=369390662, record number=27734874, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=369476390, record number=27735174, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=369570502, record number=27736074, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=369656230, record number=27736374, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=369755526, record number=27737379, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=369841254, record number=27737679, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=369935078, record number=27738569, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=370020806, record number=27738869, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=370114630, record number=27739759, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=370200358, record number=27740059, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=370310550, record number=27741229, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=370429238, record number=27741424, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=370578534, record number=27742354, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=370664262, record number=27742654, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=370800886, record number=27743924, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=370919574, record number=27744119, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=371068742, record number=27745044, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=371154470, record number=27745344, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=371945750, record number=27774509, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=372064438, record number=27774704, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=372220038, record number=27775769, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=372305766, record number=27776069, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=373064086, record number=27803084, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=373182774, record number=27803279, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=373332646, record number=27804254, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=373418374, record number=27804554, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=373513062, record number=27805499, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=373598790, record number=27805799, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=374374790, record number=27833929, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=374460518, record number=27834229, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=374593878, record number=27835494, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=374712566, record number=27835689, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=374861926, record number=27836624, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=374947654, record number=27836924, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=1792611734, record number=124199554, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=1887048422, record number=131068809, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=2018502582, record number=136413539, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=2018536150, record number=136413549, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=2018924694, record number=136422689, cell=XOR)
